query,page_number,pageid,title,timestamp,wordcount,snippet
digital services act,1,65193550,Digital Services Act,2026-06-20T03:14:50Z,7420,"The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA) is an EU regulation that entered into force in 2022, establishing a comprehensive legal framework for <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> accountability"
digital services act,1,66230371,Digital Markets Act,2026-06-11T19:50:04Z,12016,"The <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> (DMA) is an EU regulation that aims to make the <span class=""searchmatch"">digital</span> economy fairer and more contestable. The regulation entered into force"
digital services act,1,295668,Content moderation,2026-06-23T23:47:33Z,3516,"<span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA)&quot;. European Commission. Retrieved 23 September 2025. &quot;Out-of-court dispute settlement bodies under the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>"
digital services act,1,67646530,Online Safety Act 2023,2026-06-24T12:39:02Z,5945,"through &quot;<span class=""searchmatch"">service</span> restriction orders&quot;, requirements on ancillary <span class=""searchmatch"">services</span> which facilitate the provision of the regulated <span class=""searchmatch"">services</span>. The <span class=""searchmatch"">act</span> lists in section"
digital services act,1,47652080,Digital Single Market,2026-06-22T19:07:06Z,6123,"Market For <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> (<span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>) and amending Directive 2000/31/EC European Commission (16 April 2021). &quot;The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> package&quot;"
digital services act,1,25286840,Taxation of digital goods,2026-05-26T16:07:06Z,5918,"for a fee. The taxation of <span class=""searchmatch"">digital</span> goods and/or <span class=""searchmatch"">services</span>, sometimes referred to as <span class=""searchmatch"">digital</span> tax and/or a <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> tax, is gaining popularity across"
digital services act,1,70137000,Censorship in the European Union,2026-04-30T05:29:35Z,1603,"using automated content moderation to remove legal speech. The EU <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, passed in 2022, compels online platforms to remove illegal content"
digital services act,1,34092671,Shadow banning,2026-06-25T20:12:47Z,3227,"platform denied a <span class=""searchmatch"">service</span> for no disclosed reason, and hence being in breach of contract. In the European Union, the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA) contains"
digital services act,1,18935388,Information technology law,2025-12-08T10:04:58Z,4956,"Artificial Intelligence <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> Cyber Resilience <span class=""searchmatch"">Act</span> Data Governance <span class=""searchmatch"">Act</span> (proposed) <span class=""searchmatch"">Digital</span> Fairness <span class=""searchmatch"">Act</span> (proposed) As of"
digital services act,1,9933471,Digital marketing,2026-06-05T02:06:43Z,5526,"products and <span class=""searchmatch"">services</span>. It has significantly transformed how brands and businesses use technology for marketing since the 1990s and 2000s. As <span class=""searchmatch"">digital</span> platforms"
digital services act,1,79397333,Digital Services Tax Act (Canada),2026-05-21T21:47:04Z,2412,"Canada&#039;s <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> tax (DST) was a 3% tax on Canadian-source <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> revenue (i.e., <span class=""searchmatch"">services</span> that rely on engagement, data, and content"
digital services act,1,68882246,Frances Haugen,2026-06-18T03:44:52Z,4474,"(whistleblower) – former Facebook data analyst and whistleblower <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> Online Safety <span class=""searchmatch"">Act</span> 2023 Mac, Ryan (October 5, 2021). &quot;Who is Frances Haugen"
